S.No,Crop,Dist_id,District,Year,Season,Season_yield,Total
92,maize,19,NALGONDA,2016-2017,kharif,1888,2630
93,maize,28,SURYAPET,2016-2017,kharif,1888,5651
94,maize,10,KHAMMAM,2016-2017,kharif,4173,5581
95,maize,1,ADILABAD,2016-2017,rabi,6805,5712
96,maize,11,KOMARAM BHEEM,2016-2017,rabi,6805,4917
97,maize,13,MANCHERIAL,2016-2017,rabi,7511,5410
98,maize,21,NIRMAL,2016-2017,rabi,8158,6300
99,maize,22,NIZAMABAD,2016-2017,rabi,5830,5433
100,maize,4,JAGTIAL,2016-2017,rabi,6819,5251
101,maize,23,PEDDAPALLI,2016-2017,rabi,9476,6306
102,maize,6,JAYASHANKAR,2016-2017,rabi,5985,5103
103,maize,2,BHADRADRI,2016-2017,rabi,8707,6076
104,maize,16,MAHABUBABAD,2016-2017,rabi,6943,4966
105,maize,31,WARANGAL RURAL,2016-2017,rabi,10356,6999
106,maize,32,WARANGAL URBAN,2016-2017,rabi,7345,6052
107,maize,9,KARIMNAGAR,2016-2017,rabi,8354,6316
108,maize,24,RAJANNA,2016-2017,rabi,7285,4963
109,maize,8,KAMAREDDY,2016-2017,rabi,4460,4916
110,maize,26,SANGAREDDY,2016-2017,rabi,4143,2666
111,maize,14,MEDAK,2016-2017,rabi,4272,2940
112,maize,27,SIDDIPET,2016-2017,rabi,4515,2750
113,maize,5,JANGAON,2016-2017,rabi,5919,4766
114,maize,33,YADADRI,2016-2017,rabi,6805,1927
115,maize,15,MEDCHAL MALKAJG,2016-2017,rabi,6805,3293
116,maize,3,HYDERABAD,2016-2017,rabi,0,0
117,maize,25,RANGAREDDY,2016-2017,rabi,2719,3132
118,maize,29,VIKARABAD,2016-2017,rabi,6805,3231
119,maize,12,MAHABUBNAGAR,2016-2017,rabi,6805,1143
120,maize,7,JOGULAMBA,2016-2017,rabi,6805,1950
121,maize,30,WANAPARTHY,2016-2017,rabi,6805,1162
122,maize,18,NAGARKURNOOL,2016-2017,rabi,6805,1116
123,maize,19,NALGONDA,2016-2017,rabi,6805,2630
124,maize,28,SURYAPET,2016-2017,rabi,6805,5651
125,maize,10,KHAMMAM,2016-2017,rabi,6209,5581
126,bengal gram,1,ADILABAD,2016-2017,kharif,0,1551
127,bengal gram,11,KOMARAM BHEEM,2016-2017,kharif,0,1881
128,bengal gram,13,MANCHERIAL,2016-2017,kharif,0,1299
129,bengal gram,21,NIRMAL,2016-2017,kharif,0,1173
130,bengal gram,22,NIZAMABAD,2016-2017,kharif,0,1558
131,bengal gram,4,JAGTIAL,2016-2017,kharif,0,1299
132,bengal gram,23,PEDDAPALLI,2016-2017,kharif,0,1299
133,bengal gram,6,JAYASHANKAR,2016-2017,kharif,0,1299
134,bengal gram,2,BHADRADRI,2016-2017,kharif,0,0
135,bengal gram,16,MAHABUBABAD,2016-2017,kharif,0,1299
136,bengal gram,31,WARANGAL RURAL,2016-2017,kharif,0,1299
137,bengal gram,32,WARANGAL URBAN,2016-2017,kharif,0,1299
138,bengal gram,9,KARIMNAGAR,2016-2017,kharif,0,1299
139,bengal gram,24,RAJANNA,2016-2017,kharif,0,1299
140,bengal gram,8,KAMAREDDY,2016-2017,kharif,0,1340
141,bengal gram,26,SANGAREDDY,2016-2017,kharif,0,1421
142,bengal gram,14,MEDAK,2016-2017,kharif,0,1060
143,bengal gram,27,SIDDIPET,2016-2017,kharif,0,1423
144,bengal gram,5,JANGAON,2016-2017,kharif,0,1299
145,bengal gram,33,YADADRI,2016-2017,kharif,0,1299
146,bengal gram,15,MEDCHAL MALKAJG,2016-2017,kharif,0,1299
147,bengal gram,3,HYDERABAD,2016-2017,kharif,0,0
148,bengal gram,25,RANGAREDDY,2016-2017,kharif,0,1477
149,bengal gram,29,VIKARABAD,2016-2017,kharif,0,1576
150,bengal gram,12,MAHABUBNAGAR,2016-2017,kharif,0,1299
151,bengal gram,7,JOGULAMBA,2016-2017,kharif,0,657
152,bengal gram,30,WANAPARTHY,2016-2017,kharif,0,1299
153,bengal gram,18,NAGARKURNOOL,2016-2017,kharif,0,1299
154,bengal gram,19,NALGONDA,2016-2017,kharif,0,1299
155,bengal gram,28,SURYAPET,2016-2017,kharif,0,1299
156,bengal gram,10,KHAMMAM,2016-2017,kharif,0,1299
157,bengal gram,1,ADILABAD,2016-2017,rabi,1551,1551
158,bengal gram,11,KOMARAM BHEEM,2016-2017,rabi,1881,1881
159,bengal gram,13,MANCHERIAL,2016-2017,rabi,1299,1299
160,bengal gram,21,NIRMAL,2016-2017,rabi,1173,1173
161,bengal gram,22,NIZAMABAD,2016-2017,rabi,1558,1558
162,bengal gram,4,JAGTIAL,2016-2017,rabi,1299,1299
163,bengal gram,23,PEDDAPALLI,2016-2017,rabi,1299,1299
164,bengal gram,6,JAYASHANKAR,2016-2017,rabi,1299,1299
165,bengal gram,2,BHADRADRI,2016-2017,rabi,0,0
166,bengal gram,16,MAHABUBABAD,2016-2017,rabi,1299,1299
167,bengal gram,31,WARANGAL RURAL,2016-2017,rabi,1299,1299
168,bengal gram,32,WARANGAL URBAN,2016-2017,rabi,1299,1299
169,bengal gram,9,KARIMNAGAR,2016-2017,rabi,1299,1299
170,bengal gram,24,RAJANNA,2016-2017,rabi,1299,1299
171,bengal gram,8,KAMAREDDY,2016-2017,rabi,1340,1340
172,bengal gram,26,SANGAREDDY,2016-2017,rabi,1421,1421
173,bengal gram,14,MEDAK,2016-2017,rabi,1060,1060
174,bengal gram,27,SIDDIPET,2016-2017,rabi,1423,1423
175,bengal gram,5,JANGAON,2016-2017,rabi,1299,1299
176,bengal gram,33,YADADRI,2016-2017,rabi,1299,1299
177,bengal gram,15,MEDCHAL MALKAJG,2016-2017,rabi,1299,1299
178,bengal gram,3,HYDERABAD,2016-2017,rabi,0,0
179,bengal gram,25,RANGAREDDY,2016-2017,rabi,1477,1477
180,bengal gram,29,VIKARABAD,2016-2017,rabi,1576,1576
181,bengal gram,12,MAHABUBNAGAR,2016-2017,rabi,1299,1299
182,bengal gram,7,JOGULAMBA,2016-2017,rabi,657,657
183,bengal gram,30,WANAPARTHY,2016-2017,rabi,1299,1299
184,bengal gram,18,NAGARKURNOOL,2016-2017,rabi,1299,1299
185,bengal gram,19,NALGONDA,2016-2017,rabi,1299,1299
186,bengal gram,28,SURYAPET,2016-2017,rabi,1299,1299
187,bengal gram,10,KHAMMAM,2016-2017,rabi,1299,1299
188,groundnut,1,ADILABAD,2017-2018,kharif,0,2236
189,groundnut,11,KOMARAM BHEEM,2017-2018,kharif,0,0
190,groundnut,13,MANCHERIAL,2017-2018,kharif,2188,2237
191,groundnut,21,NIRMAL,2017-2018,kharif,0,2236
192,groundnut,22,NIZAMABAD,2017-2018,kharif,2188,2226
193,groundnut,4,JAGTIAL,2017-2018,kharif,0,1453
194,groundnut,23,PEDDAPALLI,2017-2018,kharif,0,2236
195,groundnut,6,JAYASHANKAR,2017-2018,kharif,2188,1792
196,groundnut,2,BHADRADRI,2017-2018,kharif,2188,2815
197,groundnut,16,MAHABUBABAD,2017-2018,kharif,2188,1526
198,groundnut,31,WARANGAL RURAL,2017-2018,kharif,4016,3281
199,groundnut,32,WARANGAL URBAN,2017-2018,kharif,2188,2230
200,groundnut,9,KARIMNAGAR,2017-2018,kharif,2188,1603
201,groundnut,24,RAJANNA,2017-2018,kharif,0,2236
202,groundnut,8,KAMAREDDY,2017-2018,kharif,0,2236
203,groundnut,26,SANGAREDDY,2017-2018,kharif,0,2236
204,groundnut,14,MEDAK,2017-2018,kharif,2188,2229
205,groundnut,27,SIDDIPET,2017-2018,kharif,2188,1760
206,groundnut,5,JANGAON,2017-2018,kharif,2188,1769
207,groundnut,33,YADADRI,2017-2018,kharif,2188,2207
208,groundnut,15,MEDCHAL MALKAJG,2017-2018,kharif,0,0
209,groundnut,3,HYDERABAD,2017-2018,kharif,0,0
210,groundnut,25,RANGAREDDY,2017-2018,kharif,0,3023
211,groundnut,29,VIKARABAD,2017-2018,kharif,2188,2045
212,groundnut,12,MAHABUBNAGAR,2017-2018,kharif,2188,2332
213,groundnut,7,JOGULAMBA,2017-2018,kharif,1918,2363
214,groundnut,30,WANAPARTHY,2017-2018,kharif,1969,2141
215,groundnut,18,NAGARKURNOOL,2017-2018,kharif,1527,2300
216,groundnut,19,NALGONDA,2017-2018,kharif,1102,1932
217,groundnut,28,SURYAPET,2017-2018,kharif,1277,1928
218,groundnut,10,KHAMMAM,2017-2018,kharif,2188,2126
219,groundnut,1,ADILABAD,2017-2018,rabi,2236,2236
220,groundnut,11,KOMARAM BHEEM,2017-2018,rabi,0,0
221,groundnut,13,MANCHERIAL,2017-2018,rabi,2236,2237
222,groundnut,21,NIRMAL,2017-2018,rabi,2236,2236
223,groundnut,22,NIZAMABAD,2017-2018,rabi,2236,2226
224,groundnut,4,JAGTIAL,2017-2018,rabi,1453,1453
225,groundnut,23,PEDDAPALLI,2017-2018,rabi,2236,2236
226,groundnut,6,JAYASHANKAR,2017-2018,rabi,1765,1792
227,groundnut,2,BHADRADRI,2017-2018,rabi,3042,2815
228,groundnut,16,MAHABUBABAD,2017-2018,rabi,1513,1526
229,groundnut,31,WARANGAL RURAL,2017-2018,rabi,2672,3281
230,groundnut,32,WARANGAL URBAN,2017-2018,rabi,2236,2230
231,groundnut,9,KARIMNAGAR,2017-2018,rabi,1477,1603
232,groundnut,24,RAJANNA,2017-2018,rabi,2236,2236
233,groundnut,8,KAMAREDDY,2017-2018,rabi,2236,2236
234,groundnut,26,SANGAREDDY,2017-2018,rabi,2236,2236
235,groundnut,14,MEDAK,2017-2018,rabi,2236,2229
236,groundnut,27,SIDDIPET,2017-2018,rabi,1750,1760
237,groundnut,5,JANGAON,2017-2018,rabi,1658,1769
238,groundnut,33,YADADRI,2017-2018,rabi,2236,2207
239,groundnut,15,MEDCHAL MALKAJG,2017-2018,rabi,0,0
240,groundnut,3,HYDERABAD,2017-2018,rabi,0,0
241,groundnut,25,RANGAREDDY,2017-2018,rabi,3023,3023
242,groundnut,29,VIKARABAD,2017-2018,rabi,2043,2045
243,groundnut,12,MAHABUBNAGAR,2017-2018,rabi,2337,2332
